ID,Пол,Возраст,Родной язык,Язык интерфейс,Владение KZ,Владение RU,Владение EN,Регион/ Область,Населённый пункт,Миграционный статус,ПМЖ,Локация внутренней миграции,Прописка,Гражданство/проживание,Этап жизни,Триггер/привычка
128,Ж,43,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Павлодар,,есть,гражданин,работающий,"Привычка 'терпеть' и не жаловаться, даже когда личные границы нарушаются, сформированная опытом жизни в 90-е."
129,М,29,kk,kk,высокий,базовый,базовый,восток,аул,постоянное место жительства,село Аксуат,,есть,гражданин,работающий,Презрение к 'городским неженкам' и идеализация простого физического труда.
130,Ж,35,оба,ru,средний,высокий,высокий,центр,город,внешний мигрант,Астана,,нет,ПМЖ,работающий,"Постоянное ощущение себя 'чужой' и стремление к ассимиляции, вплоть до потери собственной идентичности."
131,М,52,kk,kk,высокий,средний,базовый,юг,райцентр,постоянное место жительства,Жетысай,,есть,гражданин,работающий,"Патернализм и привычка решать за других, как им жить, сформированные статусом уважаемого человека в маленьком городе."
132,Ж,27,оба,ru,средний,высокий,средний,запад,город,постоянное место жительства,Актобе,,есть,гражданин,декрет,"Страх остаться одной и паническая боязнь развода, так как самореализация полностью зависит от мужа."
133,М,30,ru,ru,базовый,высокий,средний,север,город,постоянное место жительства,Костанай,,есть,гражданин,работающий,"'Синдром отличника' и болезненная реакция на критику, идущие из детства, где любовь родителей нужно было 'заслужить'."
134,Ж,47,ru,ru,средний,высокий,базовый,восток,город,постоянное место жительства,Риддер,,есть,гражданин,безработный,"Апатия и отсутствие веры в будущее, сформированные жизнью в депрессивном моногороде и потерей работы после закрытия предприятия."
135,М,25,оба,ru,средний,высокий,высокий,центр,город,внутренний мигрант,Караганда,из Шахтинска в Караганду,нет,гражданин,работающий,Цинизм и черный юмор как защитная реакция на тяжелые условия труда и постоянный риск.
136,Ж,20,kk,kk,высокий,средний,базовый,юг,город,внутренний мигрант,Алматы,из Талдыкоргана в Алматы,нет,гражданин,студент,Конфликт между желанием быть современной и давлением традиционных ценностей семьи.
137,М,36,оба,ru,средний,высокий,базовый,запад,город,постоянное место жительства,Атырау,,есть,гражданин,работающий,"Привычка 'покупать' любовь и внимание детей дорогими подарками, чтобы компенсировать свое частое отсутствие."
138,Ж,29,ru,ru,базовый,высокий,средний,север,город,внешний мигрант,Петропавловск,,нет,временно,декрет,Романтизация 'простой жизни' и идеализация мужа как способ справиться с трудностями эмиграции и потери статуса.
139,М,41,kk,kk,высокий,базовый,базовый,восток,аул,постоянное место жительства,село Курчум,,есть,гражданин,работающий,"Привычка к одиночеству и молчанию, сформированная работой егеря вдали от людей."
140,Ж,32,оба,ru,высокий,высокий,высокий,центр,город,постоянное место жительства,Астана,,есть,гражданин,работающий,"Страх делегировать полномочия и тотальный контроль над подчиненными из-за страха, что 'никто не сделает лучше меня'."
141,М,37,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Костанай,,есть,гражданин,работающий,"Ощущение, что настоящая жизнь проходит мимо, сформированное работой дальнобойщика и постоянным наблюдением за чужими жизнями 'из окна'."
142,Ж,28,оба,ru,высокий,высокий,средний,юг,город,внутренний мигрант,Алматы,из Каскелена в Алматы,нет,гражданин,работающий,Перфекционизм в работе и быту как способ компенсировать хаос и неустроенность в детстве.
143,М,55,оба,ru,средний,высокий,базовый,запад,город,постоянное место жительства,Атырау,,есть,гражданин,работающий,"Авторитарный стиль общения и неумение проявлять слабость, выработанные годами руководящей работы на месторождении."
144,Ж,22,ru,ru,средний,высокий,высокий,центр,город,внутренний мигрант,Астана,из Кокшетау в Астану,нет,гражданин,студент,"Богемный образ жизни и отрицание 'скучной' рутины как реакция на строгое, консервативное воспитание."
145,М,41,ru,ru,базовый,высокий,базовый,восток,аул,постоянное место жительства,поселок Урыль,,есть,гражданин,работающий,"Нелюдимость и дискомфорт в больших городах, привычка к тишине и уединению, сформированная жизнью в заповедной зоне."
146,Ж,34,ru,ru,базовый,высокий,средний,север,город,постоянное место жительства,Петропавловск,,есть,гражданин,работающий,Гиперконтроль над жизнью ребенка и страх за его будущее как способ компенсировать отсутствие отца.
147,М,29,kk,kk,высокий,средний,базовый,юг,город,постоянное место жительства,Шымкент,,есть,гражданин,работающий,"Конфликт между желанием открыть собственный, современный бизнес и обязанностью продолжать традиционное семейное дело."
148,Ж,48,оба,ru,средний,высокий,средний,запад,город,постоянное место жительства,Атырау,,есть,гражданин,работающий,"Профессиональный цинизм и усталость от 'системы', но чувство долга, не позволяющее бросить работу в государственной больнице."
149,М,20,ru,ru,базовый,высокий,базовый,центр,город,постоянное место жительства,Караганда,,есть,гражданин,безработный,"Пассивность и отсутствие амбиций, сформированные гиперопекой матери и отсутствием необходимости бороться за что-либо."
150,Ж,30,оба,ru,высокий,высокий,высокий,восток,аул,внутренний мигрант,село Урджар,из города в аул,есть,гражданин,работающий,Идеализация сельской жизни и дауншифтинг как способ сбежать от стресса и конкуренции большого города.
151,М,63,ru,ru,базовый,высокий,базовый,центр,город,постоянное место жительства,Темиртау,,есть,гражданин,пенсионер,Ипохондрия и постоянное беспокойство о здоровье как следствие жизни в плохой экологии и раннего выхода на пенсию по профзаболеванию.
152,Ж,25,оба,ru,высокий,высокий,средний,юг,город,постоянное место жительства,Алматы,,есть,гражданин,работающий,"Поверхностное дружелюбие и 'дежурная улыбка', выработанные в сфере услуг и туризма."
153,М,32,оба,ru,средний,высокий,средний,запад,город,постоянное место жительства,Актау,,есть,гражданин,работающий,"Привычка жить сегодняшним днем и тратить большие деньги после вахты, не думая о будущем."
154,Ж,50,ru,ru,средний,высокий,высокий,центр,город,постоянное место жительства,Астана,,есть,гражданин,работающий,"Интеллектуальный снобизм и снисходительное отношение к людям, не обладающим ее уровнем знаний."
155,М,27,kk,kk,высокий,средний,базовый,восток,город,постоянное место жительства,Семей,,есть,гражданин,работающий,"Обостренное чувство справедливости и готовность действовать 'не по уставу', что приводит к конфликтам с начальством."
156,Ж,44,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Костанай,,есть,гражданин,работающий,"Привычка 'тянуть все на себе' и не доверять наемным работникам, сформированная опытом ведения малого бизнеса."
157,М,38,kk,kk,высокий,базовый,базовый,юг,аул,номад (не резидент РК),аул Мерке,"Шу, Тараз, Кордай",есть,гражданин,работающий,"Непривязанность к месту и легкое отношение к бытовым трудностям, выработанные постоянными переездами по объектам."
158,Ж,23,ru,ru,средний,высокий,средний,запад,город,постоянное место жительства,Уральск,,есть,гражданин,безработный,"Разочарование в 'вышке' и апатия из-за невозможности найти работу по специальности, на которую были потрачены годы и деньги."
159,М,49,ru,ru,базовый,высокий,базовый,центр,город,постоянное место жительства,Караганда,,есть,гражданин,работающий,"Привычка избегать ответственности и 'плыть по течению', сформированная многолетней рутинной работой в госорганах."
160,Ж,31,оба,ru,высокий,высокий,высокий,восток,город,внутренний мигрант,Усть-Каменогорск,из Риддера в Усть-Каменогорск,есть,гражданин,работающий,"Трудоголизм и стремление к карьерным высотам как способ доказать родителям и себе, что переезд в большой город был не зря."
161,Ж,35,ru,ru,высокий,высокий,средний,юг,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Гиперответственность и неумение делегировать, сформированные страхом потери контроля, который был заложен с детства из-за ранней разлуки с матерью и укрепился в конкурентной среде."
162,М,22,kk,kk,высокий,средний,базовый,север,райцентр,внутренний мигрант,Астана,Костанай-Астана,есть,гражданин,студент,"Низкая самооценка и синдром самозванца, выросшие из раннего чувства 'инаковости', изоляции из-за задержки речи и школьного буллинга, что привело к избеганию публичности."
163,М,65,ru,ru,средний,высокий,базовый,восток,аул,постоянное место жительства,-,-,есть,гражданин,пенсионер,"Финансовая безграмотность и фатализм, сформированные отсутствием родительского внимания в детстве и тяжелой работой в юности, что привело к неумению планировать будущее."
164,Ж,28,kk,оба,высокий,средний,нет,запад,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Потребность в тотальном контроле и создании 'идеального' мира вокруг себя как способ компенсировать внутреннюю тревогу, заложенную нежеланной беременностью матери."
165,М,45,kk,kk,высокий,средний,средний,центр,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Эмоциональная закрытость и привычка 'все держать в себе', сформированные ролью старшего ребенка в многодетной семье, где не было принято говорить о чувствах."
166,Ж,30,оба,ru,средний,высокий,базовый,юг,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Инфантилизм и зависимость от мнения мужа, выросшие из воспитания в традиционной семье, где ее с детства готовили к роли 'хранительницы очага', а не самостоятельной личности."
167,М,18,ru,ru,базовый,высокий,средний,север,город,постоянное место жительства,-,-,есть,гражданин,студент,"Склонность к накопительству и страх бедности, сформированные стрессом матери из-за материальных проблем во время беременности и тяжелым опытом выживания в 90-е."
168,Ж,41,kk,kk,высокий,средний,нет,восток,райцентр,постоянное место жительства,-,-,есть,гражданин,декрет,"Привычка 'быть удобной' и страх проявить себя, сформированные необходимостью не мешать матери, страдавшей от послеродовой депрессии, и укрепившиеся в браке с авторитарным мужем."
169,М,55,kk,ru,высокий,высокий,высокий,запад,город,внешний мигрант,Казахстан,Москва-Атырау,есть,ПМЖ,работающий,"Перфекционизм и страх совершить ошибку, выросшие из гиперопеки после тяжелых родов и постоянного давления со стороны родителей-учителей, ожидавших только отличных результатов."
170,Ж,25,ru,ru,средний,высокий,средний,центр,аул,постоянное место жительства,-,-,нет,гражданин,безработный,Стремление к риску и адреналиновая зависимость как способ компенсировать недостаток внимания в детстве и доказать свою 'крутизну' после буллинга в школе.
171,М,33,kk,kk,высокий,средний,базовый,юг,райцентр,постоянное место жительства,-,-,есть,гражданин,работающий,"Неуверенность в себе и страх принимать решения, сформированные гиперопекающей матерью, которая видела в сыне 'единственный смысл жизни' после ухода мужа."
172,Ж,10,kk,kk,средний,базовый,нет,север,город,постоянное место жительства,-,-,есть,гражданин,школьник,"Эмоциональная отстраненность и неумение строить близкие отношения, выросшие из постоянных разлук с отцом-моряком и частых переездов, которые не позволяли заводить друзей."
173,М,49,оба,ru,высокий,высокий,средний,восток,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Желание 'сбежать' от реальности в мир книг и фантазий, сформированное тяжелой атмосферой в семье алкоголика и укрепившееся в серой реальности моногорода."
174,Ж,21,ru,ru,базовый,высокий,высокий,запад,райцентр,постоянное место жительства,-,-,есть,гражданин,студент,"Агрессивность и импульсивность как защитная реакция на мир, сформированная после родовой травмы, буллинга в школе и службы в армии, где сила была главным аргументом."
175,М,70,kk,kk,высокий,базовый,нет,центр,аул,постоянное место жительства,-,-,есть,гражданин,пенсионер,"Жертвенность и привычка ставить чужие интересы выше своих, сформированные ролью старшей сестры, вынужденной заботиться о младших, пока родители строили карьеру."
176,Ж,38,kk,ru,высокий,высокий,средний,юг,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Привычка к одиночеству и эмоциональная закрытость, выросшие из детской изоляции из-за слабого здоровья и укрепившиеся во время работы на удаленке."
177,М,27,ru,ru,средний,высокий,высокий,север,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Инфантилизм и нежелание брать на себя ответственность, сформированные гиперопекой богатых родителей, которые решали за него все проблемы."
178,Ж,14,kk,kk,высокий,средний,базовый,восток,райцентр,постоянное место жительства,-,-,есть,гражданин,школьник,"Страх перед будущим и привычка 'плыть по течению', сформированные жизнью в депрессивном регионе и отсутствием веры в возможность что-то изменить."
179,М,60,оба,ru,высокий,высокий,средний,запад,город,постоянное место жительства,-,-,есть,гражданин,пенсионер,"Консерватизм и неприятие перемен, заложенные стабильным и предсказуемым советским детством и укрепившиеся на монотонной работе."
180,Ж,31,ru,ru,базовый,высокий,базовый,центр,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Зависимость от мнения окружающих и страх осуждения, сформированные строгим воспитанием и необходимостью всегда 'соответствовать' ожиданиям."
181,М,24,kk,kk,высокий,средний,базовый,юг,аул,постоянное место жительства,-,-,есть,гражданин,работающий,"Склонность к саморазрушению и поиску острых ощущений как способ заглушить внутреннюю пустоту, оставшуюся после ранней потери матери и безразличия отца."
182,Ж,52,kk,ru,высокий,высокий,базовый,север,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Синдром спасателя' и потребность быть нужным, сформированные в ответ на послеродовую депрессию матери, где он чувствовал себя ответственным за ее настроение."
183,М,17,ru,ru,средний,высокий,средний,восток,город,постоянное место жительства,-,-,есть,гражданин,школьник,"Созависимость и растворение в партнере, выросшие из страха одиночества, заложенного после развода родителей, и укрепившиеся в браке с 'сильным' мужчиной."
184,Ж,39,kk,kk,высокий,средний,нет,запад,райцентр,постоянное место жительства,-,-,есть,гражданин,работающий,"Неуверенность в себе и страх публичных выступлений, сформированные задержкой речи в детстве и насмешками сверстников в школе."
185,М,48,оба,ru,высокий,высокий,высокий,центр,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Цинизм и недоверие к людям, особенно к женщинам, как защитная реакция на ранний отказ матери и воспитание в мужской среде."
186,Ж,20,ru,ru,базовый,высокий,средний,юг,город,внутренний мигрант,Алматы,Шымкент-Алматы,есть,гражданин,студент,"Трудоголизм и неумение отдыхать, сформированные гиперответственностью старшего ребенка и необходимостью помогать семье в трудные времена."
187,М,55,kk,kk,высокий,средний,базовый,север,райцентр,постоянное место жительства,-,-,есть,гражданин,работающий,"Потребность в контроле и порядке как способ справиться с внутренней тревогой, заложенной хаотичным воспитанием и частыми переездами."
188,Ж,29,kk,ru,высокий,высокий,базовый,восток,аул,постоянное место жительства,-,-,есть,гражданин,декрет,"Прокрастинация и страх неудачи, выросшие из гиперопеки и отсутствия необходимости что-либо 'достигать' в детстве."
189,М,32,ru,ru,средний,высокий,средний,запад,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Импульсивность и неумение планировать будущее, сформированные воспитанием в творческой, но хаотичной семье, где жили 'одним днем'."
190,Ж,68,kk,kk,высокий,базовый,нет,центр,райцентр,постоянное место жительства,-,-,есть,гражданин,пенсионер,"Социальная изоляция и уход в себя, ставшие следствием ранней потери родителей и воспитания у пожилой бабушки, что ограничило общение со сверстниками."
191,М,36,оба,ru,высокий,высокий,высокий,юг,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Чувство вины и гиперответственность, сформированные после смерти младшего брата в детстве, где он чувствовал себя 'недосмотревшим'."
192,Ж,43,kk,kk,высокий,средний,нет,север,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Скрытность и недоверие к людям, выросшие из жизни в семье с 'двойным дном' (отец-чиновник вел двойную жизнь), где нужно было 'держать лицо'."
193,М,15,ru,ru,базовый,высокий,базовый,восток,райцентр,постоянное место жительства,-,-,есть,гражданин,школьник,Проблемы с дисциплиной и неприятие авторитетов как бунт против строгого отца-военного и формализма в школе.
194,Ж,23,kk,оба,высокий,средний,средний,запад,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Тревога разлуки и страх одиночества, сформированные ранней смертью отца и эмоциональной холодностью матери, погруженной в свое горе."
195,М,58,kk,kk,высокий,средний,нет,центр,аул,постоянное место жительства,-,-,есть,гражданин,пенсионер,"Привычка к одиночеству и самодостаточность, выросшие из роли старшего ребенка в многодетной сельской семье, где ему рано пришлось стать самостоятельным."
196,Ж,34,ru,ru,средний,высокий,средний,юг,райцентр,постоянное место жительства,-,-,есть,гражданин,работающий,"Неуверенность в своих силах и страх принимать решения, сформированные авторитарной матерью, которая все решала за нее."
197,М,26,kk,kk,высокий,средний,базовый,север,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Склонность к накопительству и 'синдром отложенной жизни', сформированные бедностью в 90-е и страхом, что 'все может снова закончиться'."
198,Ж,47,ru,ru,базовый,высокий,высокий,восток,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Отсутствие эмпатии и эмоциональная холодность как профессиональная деформация, усугубленная воспитанием в семье, где не принято было проявлять чувства."
199,М,19,kk,kk,высокий,средний,нет,запад,аул,постоянное место жительства,-,-,есть,гражданин,студент,"Тотальная пассивность и безынициативность, выросшие из 'выученной беспомощности', сформированной тяжелым рождением, диагнозом ДЦП и последующей изоляцией."
200,Ж,40,оба,ru,высокий,высокий,средний,центр,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Потребность в контроле и перфекционизм, сформированные как способ заслужить любовь и внимание вечно занятых родителей-карьеристов."
201,М,37,kk,kk,высокий,средний,базовый,юг,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Привычка создавать финансовую 'подушку безопасности' и страх бедности, выросшие из опыта выживания семьи в 90-е."
202,Ж,50,ru,ru,средний,высокий,нет,север,райцентр,постоянное место жительства,-,-,есть,гражданин,работающий,"Гиперчувствительность к критике и зависимость от чужого мнения, сформированные матерью, которая постоянно сравнивала ее с другими детьми."
203,М,16,kk,kk,высокий,средний,средний,восток,город,постоянное место жительства,-,-,есть,гражданин,школьник,"Агрессивность и импульсивность как защитная реакция на мир, сформированная сложным рождением, конфликтами в семье и буллингом в школе."
204,Ж,24,ru,ru,базовый,высокий,базовый,запад,город,внутренний мигрант,Актобе,Уральск-Актобе,есть,гражданин,работающий,"Синдром самозванца и нездоровое сравнение себя с другими, выросшие из постоянной конкуренции с более успешным братом."
205,М,62,оба,ru,высокий,высокий,высокий,центр,город,постоянное место жительства,-,-,есть,гражданин,пенсионер,Синдром самозванца и трудоголизм как способ доказать свою ценность 'простым' родителям-рабочим после получения высшего образования.
206,Ж,33,kk,kk,высокий,средний,нет,юг,аул,постоянное место жительства,-,-,есть,гражданин,работающий,"Скромность и избегание публичности, сформированные строгим традиционным воспитанием в ауле, где 'девочка должна быть тихой'."
207,М,28,ru,ru,средний,высокий,средний,север,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Эмоциональная зависимость от партнера и страх одиночества, выросшие из недостатка отцовского внимания в детстве."
208,Ж,46,kk,ru,высокий,высокий,базовый,восток,райцентр,постоянное место жительства,-,-,есть,гражданин,работающий,"Привычка 'казаться, а не быть' и создавать 'успешный' образ, сформированная как способ вырваться из бедности и попасть в 'высшее общество'."
209,М,51,ru,ru,базовый,высокий,нет,запад,город,постоянное место жительства,-,-,есть,гражданин,работающий,"Жертвенность и неумение говорить 'нет', сформированные ролью старшей сестры, на которую была возложена забота о больной матери."
210,Ж,40,kk,ru,высокий,высокий,средний,юг,город,постоянное место жительства,-,-,есть,гражданин,работающий,Зависимость от адреналина и рискованное поведение как способ почувствовать себя живым после монотонной и безопасной жизни под гиперопекой.
211,М,35,ru,ru,базовый,высокий,базовый,юг,город,постоянное место жительства,Шымкент,,есть,гражданин,работающий,"Финансовые трудности родителей в детстве привели к страху бедности, постоянной экономии и выбору практичных решений."
212,Ж,28,kk,kk,высокий,средний,базовый,запад,город,внутренний мигрант,Актау,"Актау, Атырау",есть,гражданин,работающий,"Частые переезды в детстве способствовали быстрой адаптации к новым условиям, но создали сложности с построением долгосрочных отношений."
213,М,45,оба,ru,высокий,высокий,средний,центр,город,постоянное место жительства,Астана,,есть,гражданин,работающий,"Воспитание в строгой семье военного сформировало перфекционизм, требовательность к себе и окружающим, а также трудности с проявлением эмоций."
214,Ж,22,kk,kk,высокий,базовый,базовый,юг,аул,постоянное место жительства,Туркестанская область,,есть,гражданин,студент,"Ранняя потеря матери вызвала страх привязанности и избегание близких отношений, чтобы не испытывать боль утраты."
215,М,19,ru,ru,средний,высокий,средний,север,город,внешний мигрант,Костанай,,нет,временно,студент,"Буллинг в школе из-за внешности стал причиной низкой самооценки, избегания публичных выступлений и новых знакомств."
216,Ж,50,оба,kk,высокий,высокий,базовый,восток,райцентр,постоянное место жительства,Семей,,есть,гражданин,работающий,"Жизнь в тени успешной старшей сестры привела к синдрому самозванца, постоянному сравнению себя с другими и обесцениванию своих достижений."
217,М,65,kk,kk,высокий,средний,базовый,запад,аул,постоянное место жительства,Мангистауская область,,есть,гражданин,пенсионер,"Тяжелый физический труд с юности выработал привычку терпеть боль и не жаловаться, а также пренебрегать собственным здоровьем."
218,Ж,31,ru,ru,средний,высокий,высокий,центр,город,постоянное место жительства,Караганда,,есть,гражданин,декрет,"Развод родителей в подростковом возрасте породил страх повторить их судьбу, идеализацию семейных отношений и боязнь конфликтов."
219,М,26,kk,ru,высокий,средний,базовый,юг,город,внутренний мигрант,Алматы,"Алматы, Тараз",есть,гражданин,работающий,Гиперопека со стороны родителей привела к несамостоятельности в принятии решений и поиску одобрения у авторитетных фигур.
220,Ж,41,ru,ru,базовый,высокий,средний,север,город,постоянное место жительства,Петропавловск,,есть,гражданин,работающий,"Необходимость ухаживать за больным родственником в юности развила чувство ответственности, но и неумение просить о помощи."
221,М,18,kk,kk,высокий,базовый,базовый,восток,аул,постоянное место жительства,Восточно-Казахстанская область,,есть,гражданин,студент,Постоянные конфликты между родителями привели к избеганию споров любой ценой и уступчивости в ущерб собственным интересам.
222,Ж,38,оба,ru,высокий,высокий,средний,центр,город,постоянное место жительства,Астана,,есть,гражданин,работающий,Сравнение с более 'женственными' сверстницами в детстве породило комплексы по поводу внешности и чрезмерное увлечение косметикой и модой.
223,М,29,ru,ru,средний,высокий,базовый,запад,город,постоянное место жительства,Уральск,,есть,гражданин,работающий,"Отец, обесценивающий его увлечения, стал причиной скрытности и нежелания делиться своими планами из-за страха критики."
224,Ж,48,kk,kk,высокий,средний,базовый,юг,райцентр,постоянное место жительства,Кызылорда,,есть,гражданин,безработный,Ранний брак и рождение детей создали ощущение 'потерянной молодости' и попытки наверстать упущенное через яркую одежду.
225,М,55,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Павлодар,,есть,гражданин,работающий,"Потеря работы в 90-е вызвала страх нестабильности, стремление к созданию 'подушки безопасности' и недоверие к финансовым институтам."
226,Ж,24,оба,kk,высокий,высокий,высокий,центр,город,внутренний мигрант,Астана,"Астана, Алматы",нет,гражданин,студент,"Воспитание в семье, где ценилось только образование, привело к трудоголизму, неумению отдыхать и чувству вины за безделье."
227,М,33,kk,kk,высокий,средний,базовый,запад,аул,постоянное место жительства,Актюбинская область,,есть,гражданин,работающий,"Старший брат, который всегда был примером, породил вечное соревнование, стремление доказать свою состоятельность и боль от неудач."
228,Ж,21,ru,ru,средний,высокий,средний,восток,город,постоянное место жительства,Усть-Каменогорск,,есть,гражданин,студент,Недостаток внимания со стороны занятых родителей привел к поиску признания через социальные сети и зависимости от лайков.
229,М,42,оба,ru,высокий,высокий,базовый,центр,город,постоянное место жительства,Темиртау,,есть,гражданин,работающий,"Жизнь в промышленном городе с плохой экологией стала причиной ипохондрии, повышенного внимания к своему здоровью."
230,Ж,27,kk,kk,высокий,базовый,базовый,юг,город,постоянное место жительства,Талдыкорган,,есть,гражданин,работающий,Воспитание бабушкой в традиционном ключе вызвало трудности с принятием современных гендерных ролей и консервативные взгляды на семью.
231,М,25,ru,ru,средний,высокий,средний,юг,город,постоянное место жительства,Алматы,,есть,гражданин,работающий,Ощущение себя 'чужим' в школе из-за отсутствия детсадовского опыта привело к поиску своего круга общения в онлайн-играх и на форумах.
232,Ж,30,kk,kk,высокий,средний,базовый,север,аул,постоянное место жительства,Северо-Казахстанская область,,есть,гражданин,работающий,Жизнь в замкнутом социуме аула сформировала сильную привязанность к 'своим' и недоверие к чужакам и новому.
233,М,40,оба,ru,высокий,высокий,высокий,центр,город,постоянное место жительства,Астана,,есть,гражданин,работающий,Статус 'золотого ребенка' и постоянное давление ожиданий привели к хроническому страху неудачи и боязни рисковать.
234,Ж,23,ru,ru,средний,высокий,средний,запад,город,постоянное место жительства,Актобе,,есть,гражданин,студент,Преодоление речевых проблем через упорный труд сформировало бойцовский характер и стремление доказывать свою силу словом.
235,М,38,kk,kk,высокий,средний,базовый,юг,город,постоянное место жительства,Шымкент,,есть,гражданин,работающий,"Строгое религиозное воспитание сформировало твердые моральные устои, но и категоричность в суждениях, неприятие инакомыслия."
236,Ж,29,ru,ru,базовый,высокий,средний,восток,город,постоянное место жительства,Усть-Каменогорск,,есть,гражданин,работающий,Детская привычка 'догонять' сверстников из-за болезней переросла в трудоголизм и тревогу при любом отставании от графика.
237,М,50,оба,ru,высокий,высокий,базовый,центр,райцентр,постоянное место жительства,Темиртау,,есть,гражданин,работающий,"Корпоративная культура, впитанная с детства, привела к отождествлению себя с работой и потерей личности вне профессии."
238,Ж,33,ru,ru,средний,высокий,высокий,юг,город,постоянное место жительства,Тараз,,есть,гражданин,работающий,Ранний опыт столкновения с несправедливостью породил стремление защищать слабых и обостренную реакцию на ложь и лицемерие.
239,М,27,ru,ru,средний,высокий,базовый,запад,город,постоянное место жительства,Атырау,,есть,гражданин,работающий,"Привычка доминировать, сформированная в детстве, помогает в бизнесе, но создает серьезные проблемы в личных отношениях."
240,Ж,18,kk,kk,высокий,базовый,базовый,юг,аул,постоянное место жительства,Жамбылская область,,есть,гражданин,студент,"Богатый внутренний мир, созданный бабушкиными сказками, мешает адаптироваться к прагматичной и поверхностной студенческой среде."
241,М,21,ru,ru,базовый,высокий,средний,север,город,постоянное место жительства,Кокшетау,,есть,гражданин,студент,Полная идентификация себя со спортивными успехами привела к страху перед 'жизнью после спорта' и отсутствию других интересов.
242,Ж,36,оба,kk,высокий,высокий,базовый,восток,райцентр,постоянное место жительства,Аягоз,,есть,гражданин,работающий,"Раннее признание таланта стало якорем, который помогает справляться с критикой и неуверенностью в себе во взрослой жизни."
243,М,60,kk,kk,высокий,базовый,базовый,запад,аул,постоянное место жительства,Западно-Казахстанская область,,есть,гражданин,пенсионер,Недоверие к 'бумажному' образованию и вера только в практический опыт мешают принимать новые технологии в сельском хозяйстве.
244,Ж,26,ru,ru,средний,высокий,средний,центр,город,постоянное место жительства,Караганда,,есть,гражданин,работающий,"Страх быть покинутой, заложенный в раннем детстве, приводит к созависимым отношениям и паническим атакам при расставании."
245,М,32,kk,ru,высокий,высокий,базовый,юг,город,внутренний мигрант,Алматы,"Алматы, Шымкент",есть,гражданин,работающий,"Зависимость от социального внимания и 'подзарядки' от толпы делает его успешным в профессии, но невыносимым в тихой семейной жизни."
246,М,35,ru,ru,средний,высокий,средний,юг,город,постоянное место жительства,Шымкент,,есть,гражданин,работающий,"Стресс матери из-за финансов во время беременности → повышенная тревожность и привычка контролировать расходы, постоянная проверка банковского счета"
247,Ж,28,kk,kk,высокий,базовый,базовый,север,аул,постоянное место жительства,аул возле Кокшетау,,есть,гражданин,работающий,Родилась недоношенной → гиперопека матери → неуверенность в себе и поиск одобрения у окружающих
248,М,45,kk,ru,высокий,высокий,базовый,центр,райцентр,внутренний мигрант,Караганда,"Караганда, Астана",есть,гражданин,работающий,"Буллинг в школе из-за акцента → стал замкнутым, но наблюдательным → развил писательский талант как способ самовыражения"
249,Ж,22,ru,ru,средний,высокий,высокий,юг,город,постоянное место жительства,Алматы,,нет,гражданин,студент,Развод родителей в детстве → ранее взросление и стремление к финансовой независимости → подрабатывает с первого курса
250,М,55,kk,kk,высокий,средний,базовый,запад,город,постоянное место жительства,Актау,,есть,гражданин,работающий,Вырос в многодетной семье → чувство ответственности за близких → стал главой семьи и опорой для всех родственников
251,Ж,18,ru,ru,средний,высокий,средний,восток,город,постоянное место жительства,Усть-Каменогорск,,есть,гражданин,студент,Врождённое заболевание → необходимость соблюдать режим с детства → высокая самодисциплина и ответственность в учёбе
252,М,30,оба,ru,высокий,высокий,высокий,юг,город,внутренний мигрант,Алматы,"Алматы, Астана, Шымкент",нет,гражданин,работающий,"Родители-геологи, постоянные переезды в детстве → лёгкость на подъём и неприязнь к рутине → выбрал фриланс и жизнь 'на чемоданах'"
253,Ж,40,kk,kk,высокий,средний,базовый,юг,город,постоянное место жительства,Тараз,,есть,гражданин,декрет,Поздняя и долгожданная беременность → страх за ребёнка → тотальный контроль над его жизнью и здоровьем
254,М,65,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Павлодар,,есть,гражданин,пенсионер,40 лет на одном заводе → ностальгия по СССР и неприятие современных трендов → 'раньше было лучше'
